Address (Includes City),ZIP,Asking Price,Sale Price,Sale Date,Area (Sq Ft),Lot (Sq Ft),Beds,Baths,Year Built,Energy Features,Description,Classification,Solar Heating,Passive Solar,PV Power,Green Modified
1232 Kirkhill Dr Roseville," 95747	","$422,950 ","$422,950 ", 07/30/08,2753,6599,5,3,NA, Window(s) Low ," Brand new Lennar SolarPlus home in popular Westpark in Roseville. Open floor plan features 5 Bedrooms, 3 Baths, Great room, granite slab countertops, GE Profile stainless steel appliances, cocoa stained beech cabinets, and pantry closet. Upgraded carpeting and 18 x 18 tile flooring entire first floor. Large yard plus covered courtyard", Photovoltaic Power ,0,0,1,0
2111 Pyramid Ct Rocklin," 95765-4635	","$1,499,000 ","$1,275,000 ", 09/23/08,4822,20909,5,5,2007, Window(s) Low ," STUNNING 2007 CUSTOM ESTATE PERFECTLY SITUATED IN A QUIET GATED ENCLAVE TUCKED BACK IN A CUL-DE-SAC OVERLOOKING GOLF COURSE & CITY LIGHTS AT NIGHT. AT OVER 4800 SQ FT FEATURING 5 BDRMS, 5 BATHS,GOURMET KIT W/MULTIPLE DISHWASHERS,OVENS KNOTTY ALDER CAB,GOURGEOUS GRANITE,LG ISLAND, WRAP AROUND WET BAR,LG GREAT RM, HARDWD FLOORS,GAME RM,AMAZING HOME THEATER RM, STATE OF THE ART UPGRADES,SOLAR ENERGY HOME.INCREDIBLE VIEWS FROM INSIDE & MULTIPLE COVERED VERANDAS,4 CAR GAR W/TALL BOAT GARAGE & MORE", Photovoltaic Power ,1,0,1,0
230 Club Dr Novato," 94945	","$1,379,995 ","$1,210,000 ", 05/01/08,3933,15377,5,5,2007, Window(s) Low ," Olive Ridge--where green meets luxury living! This beautiful 5 bedroom, 4-1/2 bath home features all the bells and whistles with Farmhouse and Craftsman influences. Ideal floor plan with a guest bedroom with a full bath down stairs, granite chefs kitchen with an adjoining family room which opens to the beautiful yard, beautiful finishes throughout--bonus Library all on a cul-de-sac with an over 15,000 sft lot. This is a winner", Solar Heating ,1,0,0,0
2873 Market St Roseville," 95747	","$413,035 ","$341,000 ", 08/15/08,3019,3469,4,3,NA, Window(s) Low ," Beautiful new Solarplus Lennar home in Westpark of Roseville with open floor plan great for entertaining. Features master suite, spacious kitchen with dark stain beechwood cabinetry, GE Profile stainless steel appliances, double oven, island w/sink & dining bar, nook, pantry, granite counters, and loft-style bonus room. Upgraded carpet & 18 inch tile throughout", Photovoltaic Power ,0,0,1,0
3153 Ardley Dr Roseville," 95747	","$401,525 ","$385,990 ", 07/24/08,2909,4164,4,4,NA, Window(s) Low ," Fabulous new Solarplus Lennar home with luxury suite above garage-perfect for guest quarters, young adult or office! Master suite downstairs, loft-style bonus room, spacious kitchen with dark stain beechwood cabinetry, island w/dining bar & pantry, GE Profile stainless steel appliances, granite counters in kitchen & master bath, upgraded carpet & 18 inch tile", Photovoltaic Power ,0,0,1,0
3491 Rainhill Loop Roseville," 95747	","$331,830 ","$295,434 ", 11/20/08,1749,6281,3,3,NA, Window(s) Low ," Fabulous new Lennar SolarPlus home in Westpark with covered front porch and great room. Kitchen features granite counters, dark stained raised panel birch wood cabinets, GE stainless steel appliances and island with dining bar", Photovoltaic Power ,0,0,1,0
4030 Quarter Dome Circle Lot 19 Rancho Cordova," 95742	","$410,429 ","$397,720 ", 04/01/09,2597,9646,3,2,NA, Window(s) Low ," This gorgeous home has a great room that is huge! Walnut Beech cabinets thruout, Stainless GE Profile appliances, surround sound pre-wire in great room. Nice corner lot that could accomodate a boat or travel trailer on the side. Located in a great family neighborhood on a quite street", Passive Solar ,0,1,0,0
4065 Quarter Dome Circle Lot 8 Rancho Cordova," 95742	","$449,170 ","$424,000 ", 01/15/09,2597,12865,3,2,NA, Window(s) Low ," This gorgeous home has a great room that is huge! alder cabinets thruout, Upgraded black GE appliances, numerous electrical upgrades inside & out, full granite kitchen, tons of upgraded tile. Beautiful Master Bath. Large Low-E glass windows plus Solar!!!! Look at the lot size - between 1/4 & 1/3 acre!! RV, Boat, you name it - it will fit on this lot", Passive Solar ,0,1,0,0
4084 Preserve Way #27 Rancho Cordova," 95742	","$281,990 ","$270,190 ", 03/30/09,1713,4725,4,2,2008, Window(s) Low ," SOLAR ELECTRIC HOME!!! Our most popular floor plan, the Sierra II ONE-story has a spacious pantry, large kitchen island, cozy great room, and generous sized secondary bedrooms. Includes, higher efficient AC unit, plus many more energy efficient upgrades. Granite Kitchen Countertop, Natural Beech Cabinets, Designer Tile. Just Beautiful! NO HOA DUES!! COMPLETED- 30 DAY CLOS", Photovoltaic Power ,0,0,1,0
4207 Choteau Cir #Lot14 Rancho Cordova," 95742	","$266,275 ","$258,385 ", 03/30/09,1543,5779,3,2,2009, Window(s) Low ," NEW SOLAR ELECTRIC HOME! Our most popular 1-story floorplan has a large kitchen island, walk-in pantry, cozy great room, and generously sized secondary bedrooms. Includes higher efficient AC unit, furnace, radiant barrier, plus much more energy efficient upgrades. NO HOA DUES!!! Ready Now", Photovoltaic Power ,0,0,1,0
532 Howard St Petaluma," 94952	","$739,000 ","$739,000 ", 04/23/08,1929,6750,4,3,1900, Window(s) Low ," Circa 1900 Farmhouse, 4 Br & 2 BA and stunning detached Guest House! Beautifully remodeled with old world charm & modern day conveniences: 16 Kw Grid-Tie Solar Power System, newer roof, electrical & furnace! Gracious living with period crown molding, tile pavers, hexagon subway tile, French doors, inlaid oak flooring, lincresta ceiling, dormer windows & claw-foot tub. A one of a kind property with rose garden, brick courtyards, dovecot & portico", Solar Heating ,1,0,0,0
736 Coibion Ct Roseville," 95678-1345	","$325,845 ","$350,050 ", 01/08/09,2817,6490,4,3,2004, Window(s) Low ," Bank Repo-Energy Saving home.Home left in nice condition. Back yard backs up to parking lot of a business park,so lots of privac", Photovoltaic Power ,0,0,1,0
8461 Winterberry Dr Elk Grove," 95624-4203	","$289,000 ","$250,000 ", 11/14/08,1415,8407,3,2,1999, Window(s) Low ," This is NOT a distressed foreclosure or bank owned property. Very nice 1415 Square foot, 3 bedroom 2 bath home built by PRODIGY HOMES. Granite counters, new carpet and four car garage", Photovoltaic Power ,0,0,1,0
902 RANCH VIEW RD Santa Cruz," 95064	","$669,754 ","$669,754 ", 10/21/09,2078,1800,4,3,2009," Window(s) Dual PaneFireplace	Yes		Foundation	Concrete SlabFireplace Desc	Clean Air Certified, Living Room		Heating	Central, SolarAccessibility Feat	Lowered Switch(s)		HOA	YesHOA Dues	$221.00		Horse Property	NoKitchen Appl Incl	220 Volt Wiring, Dishwasher(s), Disposal, Gas Plumbed, Microwave, Oven Range Built-In		Laundry/Appliances	220 Volt Hook-Up, Gas Hook-UpLot Size	1800.00		Living Room	NonePool	None		Room Description	Master SuiteRoof Description	Comp Shingle		Disclosures/Reports	Association Docs, CC&Rs/Bylaws, Land Lease AgmtsSewer	Sewer Connected, Sewer in Street		Special Zones	Fault Zone-Yes, Flood Zone-See Rprt# of Stories	3 or More		Style Description	ContemporaryTerms	Cash/Conventional		Subtype Description	DetachedType Listing	"," Restricted to University of California Santa Cruz faculty & staff. Sixty year recorded ground lease, & recorded Conditions, Covenants and Restrictions. This new development of 45 homes is situated on University of California property and is bordered by the UCSC Arboretum, the UCSC Farm, & a permanent green belt. The site has sweeping views of Monterey Bay. Input for MLS statistical purposes only", Solar Heating ,1,0,0,0
401 RANCH VIEW RD #37 Santa Cruz," 95064	","$533,436 ","$533,436 ", 10/29/09,1747,1800,4,3,2009," Window(s) Dual PaneFireplace	No		Foundation	Concrete SlabHeating	Central, Solar		Home Protection Plan	YesAccessibility Feat	Lowered Switch(s)		HOA	YesHOA Dues	$221.00		Horse Property	NoKitchen Appl Incl	220 Volt Wiring, Dishwasher(s), Disposal, Gas Plumbed, Microwave, Oven Built-In, Oven Range Built-In		Laundry/Appliances	220 Volt Hook-Up, Gas Hook-UpLot Size	1800.00		Living Room	NonePool	None		Room Description	Master SuiteRoof Description	Comp Shingle		Disclosures/Reports	Association Docs, CC&Rs/Bylaws, Land Lease AgmtsSecurity Features	Fire Supression Sys		Sewer	Sewer Connected, Sewer in StreetSpecial Zones	Fault Zone-Yes, Flood Zone-See Rprt		# of Stories	2 StoryStyle Description	Contemporary		Terms	Cash/ConventionalSubtype Description	Detached		Type Listing	"," Restricted to University of California Santa Cruz faculty & staff. Sixty year recorded ground lease, & recorded Conditions, Covenants and Restrictions. This new development of 45 homes is situated on University of California property and is bordered by the UCSC Arboretum, the UCSC Farm, & a permanent green belt. The site has sweeping views of Monterey Bay. Input for MLS statistical purposes only", Solar Heating ,1,0,0,0
42929 APPLEWOOD ST Fremont," 94538	","$533,888 ","$575,000 ", 01/21/05,1265,6076,3,2,NA," Window(s) Dual PaneFireplace	No		Foundation	Concrete SlabGarage/Parking	Attached, Garage Door Opener		Garage Spaces	2Heating	Gas, Solar		Home Protection Plan	YesKitchen Appl Incl	220 Volt Wiring, Cooktop Stove, Gas Plumbed, Oven Built-In		Kitchen Description	Kitchen/Family ComboLandscape/Fencing	Sprinkler(s)-Front		Laundry/Appliances	220 Volt Hook-UpLot Size	6076.00		Features Misc	Patio(s)/Balcony(s)Pool	None		Room Description	Master SuiteRoof Description	Comp Shingle		Sewer	Sewer Connected, Sewer in StreetSpecial Zones	Fault Zone-No, Fault Zone-See Rprt, Flood Zone-No, Flood Zone-See Rprt		# of Stories	1 StoryStyle Description	Contemporary		Terms	Cash/ConventionalSubtype Description	Detached		Type Listing	"," Completely modeled, Better than NEW.Please, entertain with your PICKIEST Buyer Too much and extra to list!!! Covered Patio. Thank you for showing AS IS DFT not seller's fault. Termite and Roof available. Contact LA for report", Solar Heating ,1,0,0,0
4009 Quarter Dome Circle Lot 45 Rancho Cordova," 95742	","$375,280 ","$349,000 ", 06/24/10,2597,8622,3,2,2009," Window(s) Dual Pane, Window(s) Low "," Mariposa, an all-single story community with oversize lots! Come & view our model for additional details", Solar Heating ,1,0,0,0
308 Mount Shasta Dr San Rafael," 94903	","$1,395,000 ","$1,445,000 ", 07/12/07,2009,9714,5,2,NA," Window(s) Dual Pane, Wall Insulation		"," Gorgeous 5 bedroom, 2 bath A frame Eichler in Upper Lucas Valley. Renovated in a warm, contemporary style, on Open Space, w/ ridgeline views. Kitchen w/granite, stainless steel, custom cabinetry. Luxurious bathrooms, light maple colored floors. Beautifully landscaped flat backyard. Green features: modern solar panels, drip irrigation, energy efficient windows and heating system. Exquisite setting on quiet street, Dixie schools, private HOA pool", Solar Heating ,1,0,0,0
410 Hibiscus Way San Rafael," 94903	","$799,000 ","$790,000 ", 07/03/08,1624,6490,4,2,1954," Window(s) Dual Pane, Wall Insulation		"," Like a new home- beautiful remodel by two experienced contractors that are licensed green builders. Almost everything is less than two years old- kitchen, baths, flooring, interior walls, ext.siding (most of it), ceiling, electrical, etc. Expanded mstr bdrm and redesigned entry. Imported, full body Italian porcelain tile (floor and hall bath). Gas stove, maple cabs, stainless apps. Slate driveway and back patio. See pics of yards. Dixie S.D", GreenModified ,0,0,0,1
2283 Primrose Ln Lincoln," 95648-2489	","$229,000 ","$265,000 ", 01/02/09,2180,6273,3,3,2001," Window(s) Dual Pane, Solar Plumbed, Solar Heating", Wow what a buy. and cute too. You must see to appreciate, Passive Solar ,0,1,0,0
8130 Redwood Ln Granite Bay," 95746-9396	","$950,000 ","$840,000 ", 07/03/06,2779,30928,4,3,1991," Window(s) Dual Pane, Solar Heating, Whole House Fan		"," Paradise found! .7 of an acre with year round stream in backyard. Live in Granite Bay in this gorgeous home, just painted inside and out, new carpet with plush pad, new kitchen with granite counters and stainless steel appliances, central vacuum, whole house fan, huge 3 car garage, pool. MUST SEE!!", Passive Solar ,0,1,0,0
8684 Tiogawoods Dr Sacramento," 95828-5117	","$301,000 ","$249,000 ", 06/28/07,1302,6534,3,2,1984," Window(s) Dual Pane, Solar Heating, Whole House Fan", Bank owned home. 3 bedroom 2 bathroom home with a 3 car garage. located in a quiet neighborhood and is in the Elk Grove Unified School Dist. Close to all your needs. make this home your today, Passive Solar ,0,1,0,0
9165 Lujan Dr Elk Grove," 95624-1537	","$275,000 ","$185,000 ", 04/25/08,1592,6534,3,2,1982," Window(s) Dual Pane, Solar Heating, Whole House Fan"," Not another 1 like it in the neighborhood!Orig owners have added onto &remodeled.The space in this house will suprise you!The kitchen will impress you w/its beautiful custom cabinetry, Wilsonart flooring & huge walk-in pantry.Features include:whole house fn*Tuff shed*office/den in Master*Move in ready", Passive Solar ,0,1,0,0
5 Ike Ct Novato," 94945	","$1,680,000 ","$1,150,000 ", 05/09/08,3636,21214,4,3,1991," Window(s) Dual Pane, Solar Heating, Wall Insulation		"," Vacation at home in this entertainer,s dream home.Fabulous very large gourmet kitchen with 6 burner wolf range,opens to large deck w/ views,newer 42 ft pool with color lighting,spa gazebo nice patio,attached 3 car garage close to town, move in condition", Passive Solar ,0,1,0,0
2235 Fraser Ave Stockton," 95204-4716	","$139,900 ","$130,000 ", 09/17/08,1032,5663,3,1,1951," Window(s) Dual Pane, Solar Heating		"," Just the perfect home that is waiting for you! Remodeled kitchen with maple cabinets, granite counters, stainless steel sink & new applicance! Solar panels that reduce PG&E bills significantly! New wall air conditioner and much, much more! Please see attachment for a list of all the amenities this home has. Move in condition! Close to shopping and freeway access. Don't miss this one", Passive Solar ,0,1,0,0
2961 Warren Ln El Dorado Hills," 95762-4221	","$710,000 ","$655,000 ", 08/02/06,2538,17860,6,3,1979," Window(s) Dual Pane, Solar Heating		"," Nice, large ranch-style home. Current home care facility. $35K in upgrades! 7 bedrooms, 3 baths, new roof, new stucco, new windows, new flooring, new kitchen cabinets, granite counter & more. Nice front patio, beautiful front yard landscaping, circular driveway & RV access. Easy freeway access & Folsom Lake", Passive Solar ,0,1,0,0
7320 Hidden Valley Pl Granite Bay," 95746-9456	","$949,000 ","$865,000 ", 02/01/07,3315,23086,4,4,1984," Window(s) Dual Pane, Solar Heating		"," 72 HOUR/PLEASE SHOW! 5.33 Acre estate w/many horse amenities surrounded by native oaks, towering pines and rolling hills. Custom built contemporary home designed with passive solar heating and cooling. Best value in Granite Bay. Your new lifestyle is waiting for you", Passive Solar ,0,1,0,0
7740 Valley Wood Dr Sacramento," 95828-5020	","$127,900 ","$135,000 ", 04/08/09,1381,8799,4,3,1980," Window(s) Dual Pane, Solar Heating		"," A big home in a cul de sac location, Master suite could be converted to 5th bedroom. 2 remote bedrooms off familyroom. House is over 1,900 sqft. Cozy conversation area with fireplace in living room. Make your offer now!!", Passive Solar ,0,1,0,0
9036 Pecor Way #lot31 Orangevale," 95662	","$591,005 ","$591,005 ", 07/01/08,3100,8517,5,4,NA," Window(s) Dual Pane, Solar Heating		"," NEW construction in Orangevale is the one you've been looking for. The kitchen you've always dreamed of entertaining in. French Doors at Nook open to private courtyard, rear French Doors lead to covered Veranda w/fireplace. Includes SOLAR & Ca Green builder features that save our resources plus YOU MONEY", Passive Solar ,1,1,0,0
9254 Lembert Dome Cir Stockton," 95212-3217	","$429,000 ","$340,000 ", 09/05/07,2063,8712,5,3,2003," Window(s) Dual Pane, Solar Heating		"," Lots of light, vaulted ceilings, upgraded kitchen with gas stove and granite tile counters, HUGE master bedroom walk-in closet, one bedroom and full bath downstairs and more! Solar electric system.Average yearly bill $200! PRICED TO SELL BELOW MARKET VALUE", Passive Solar ,0,1,0,0
9385 Oak Leaf Way Granite Bay," 95746-8916	","$699,900 ","$675,000 ", 09/02/08,2019,52272,3,2,1978," Window(s) Dual Pane, Solar Heating		"," Think Green. Located in prestigious Folsom Lake Estates, this gorgeous remodeled, energy efficient home is powered by SOLAR system (electric bills are $8/mo). The interior boasts updated baths, a remodeled kitchen with granite counter tops and stainless steel appliances, hardwood flrs, upgraded carpet and newer windows & doors. The home is situated on 1.2 usable acres w/a built-in pool & BBQ, raised garden boxes, expansive covered patio, brick firepit, a beautiful park like setting and tool she", Passive Solar ,0,1,0,0
11409 Pelton Pl Gold River," 95670-7868	","$759,000 ","$705,000 ", 10/11/06,3037,15594,4,3,1987," Window(s) Dual Pane, Solar Heating"," Highly desirable Powell #7 flrpln. Remodeled throughout: bamboo & slate flrs- granite slab counters- master suite that boats lg spa like bath,fireplace,& sitting area-stainless steel appliances and fixtures-& designer paint.Gorgeous pool & spa w/waterfall. Backs to American River PKWY.$25,000 credit for roo", Passive Solar ,0,1,0,0
1317 Oro Loma Dr Placerville," 95667	","$730,000 ","$599,950 ", 08/01/08,2624,74052,3,3,1985," Window(s) Dual Pane, Solar Heating"," Views of the Sierra's and the pastoral Gold Hill area and more! 3 bd., 3 bath updated home on 1.7 View acres. Pool and family room for family fun and entertaining. Truly one of a kind view property located in the desirable and scenic Gold Hill area. SOLAR heating system for super energy savings", Passive Solar ,0,1,0,0
227 Wellfleet Cir Folsom," 95630-6594	","$499,000 ","$445,000 ", 03/20/08,1910,8973,4,2,1989," Window(s) Dual Pane, Solar Heating"," GREAT NEIGHBORHOOD IN THE HEART OF FOLSOM. BEAUTIFUL AND PRISTINE 1-STORY CUSTOM BUILT HOME HAS BUILT-IN POOL/SPA, REMODELED KITCHEN, NEW HICKORY FLOORS AND CUSTOM PAINT. WAINSCOATING IN MASTER BD. RV/TOY ACCESS. HOME IS IDEAL FOR ENTERTAINING", Passive Solar ,0,1,0,0
4208 Passages Ln Modesto," 95356-4315	","$379,900 ","$372,000 ", 05/28/08,2720,7840,4,3,2001," Window(s) Dual Pane, Solar Heating"," Fabulous two story with up-grades galore! Granite slabs on kitchen island, kitchen counters and on outdoor built-in-BBQ. Elegant natural and ceramic floors in all bathrooms, kitchn, family room and entry way. Big game room. Beautifully landscaped backyard w/pool and patio", Passive Solar ,0,1,0,0
814 Wild Berry Ln Rocklin," 95765-5458	","$550,000 ","$485,000 ", 03/30/09,3332,7144,4,4,2008," Window(s) Dual Pane, Solar Heating"," ** SOLAR SMART HOME for TODAY'S SMART BUYERS** SEE SUMMER PG&E $27-$36 ....APPRX $80,000 IN UPGRADES..REAR LANDSCAPING WITH PATIO..3 INCH SHUTTERS FOR PRIVACY AND ELEGANCE. GRANITE KITCHEN COUNTERTOPS.. G.E. PROFILE STAINLESS OVEN, MICROWAVE AND COOKTOP..PLENTY OF CHERRY CABINETS AND PANTRY SPACE..DOWNSTAIRS BEDROOM & BATH FOR GUESTS. PLUS.DEN/OFFICE..ASSN INCLUDES POOL AND CLUB HOUSE!..FLEXIBLE SELLER BOUGHT NEW MAY '08..NO LENDER ISSUES AND CAN CLOSE QUICKLY. NOTE: 3 CAR TANDEM GARAGE", Passive Solar ,1,1,0,0
9028 Pecor Way #lot29 Orangevale," 95662	","$688,510 ","$688,510 ", 12/14/07,3408,8639,4,3,NA," Window(s) Dual Pane, Solar Heating"," This gorgeous home includes dramatic ten foot ceilings, downstairs masters bedroom, granite countertops, classic birch cabinets in a gourmet kitchen, wrapped in a home both energy efficient and environmentally friendly. Solar Homes provide clean, renewable electric power without any fuel or emissions", Passive Solar ,0,1,0,0
9032 Pecor Way #lot30 Orangevale," 95662	","$566,615 ","$511,384 ", 11/23/07,2394,8687,3,3,NA," Window(s) Dual Pane, Solar Heating"," This beautiful home include such highlights as dramatic ten foot ceilings, granite countertops, classic birch cabinets in a gourmet kitchen, wrapped in a home both energy efficient and environmentally friendly. Solar Homes provide clean, renewable electric power without any fuel or emissions", Passive Solar ,0,1,0,0
9355 Aizenberg Cir Elk Grove," 95624-1660	","$168,000 ","$149,000 ", 03/25/08,1123,5750,2,2,1983," Window(s) Dual Pane, Solar Heating"," Cool layout - Great Room Concept with vaulted ceilings. 2br/2ba 1/2 plex on extra large lot. Huge patio has reinforced area for future spa. Plenty of room for RV/boat. Spacious dining room area, bright kitchen area with newer appliances. Large master w/private patio area", Passive Solar ,0,1,0,0
9735 Collie Way #lot86 Elk Grove," 95757	","$319,990 ","$319,990 ", 01/02/09,2780,6510,4,3,NA," Window(s) Dual Pane, Solar Heating"," Fabulous SMUD Solar Smart home with, open kitchen/family combo with granite slab counter tops, Cherry Recessed cabinets, built in 5 burner cooktop and built in oven, SS appliances, SS sink. Built by California Certified Green Builder Absolutely Gorgeous", Passive Solar ,0,1,0,0
9739 Collie Way #lot85 Elk Grove," 95757	","$466,730 ","$394,130 ", 08/15/08,2416,7000,4,4,NA," Window(s) Dual Pane, Solar Heating"," AMBERLEIGH AT MADIERA - Fabulous SMUD Solar Smart home with, open kitchen/family combo with granite slab counter tops, Cherry Recessed cabinets, built in 5 burner cooktop and built in oven, SS appliances, SS sink. Built by California Certified Green Builder Absolutely Gorgeous", Passive Solar ,0,1,0,0
6088 Bennett Valley Rd Santa Rosa," 95404	","$1,299,000 ","$1,285,000 ", 02/27/08,3100,26484,4,3,1981," Window(s) Dual Pane, Solar Domestic Water, Solar Heating, Wall Insulation"," Stunning country property with over 6 rolling acres which can be used for horses, vineyards... Large home with 4 bedrooms, living room, family room, formal dining, den and has panoramic views out almost any window. Very quiet, private with barn for multiple uses. Includes swimming pool, solar heating (energy efficient home), hot tub, potting shed and much more. Priced substancially less than last year. Country living at its best", Passive Solar ,1,1,0,0
3073 Porter Creek Rd Santa Rosa," 95404-9610	","$769,900 ","$770,000 ", 05/27/05,1762,13852,3,3,1975," Window(s) Dual Pane, Solar Domestic Water		", Horse lovers dream!! RIDE OUT YOUR BACK GATE!This lovely home has DEEDED access to miles of hiking/ riding trails. Property is at the end of private lane. Very secluded & private yet only minutes to town, Solar Heating ,1,0,0,0
103 Cypress Loop #292 Bodega Bay," 94923	","$895,000 ","$795,000 ", 10/31/06,2516,14300,2,3,1985," Window(s) Dual Pane, Solar Domestic Water"," Large loft could easily serve as a 3rd bedroom. First time on the market, this custom built beach and ocean view Bodega Harbour home is being offered for sale by the original owners and full time residents. Designed by Architects Bowler & Cook, the two-story design features an open floor plan with all main rooms on the entry level and all focused on the excellent views", Solar Heating ,1,0,0,0
1171 Riverside Dr Ukiah," 95482-9668	","$569,000 ","$570,000 ", 02/23/05,2235,34848,3,3,1977," Window(s) Dual Pane, Solar Domestic Water"," Wonderful home is private subdivision. Private lot w/new drainage system, walk to river, lovely landscaping. Bonus room over garage can be used as 4th BdRm, office, game rm, etc. Sq ft includes bonus room", Solar Heating ,1,0,0,0
9800 Joeger Rd Auburn," 95603-9006	","$1,500,000 ","$1,200,000 ", 10/31/06,2588,99316,3,3,1960," Window(s) Dual Pane, Solar Domestic Water"," HUGE PRICE REDUCTION. GREAT PIECE OF AUBURN PROPERTY W/LARGE BAR, 2100+ SQ FOOT SINGLE STORY HOME W/22 FULLY IRRIGATED ACRES W/PRIVACY & GENTLE ROLLING OPPORTUNITIES FOR FUTURE SPLITS. DETACHED GARAGE, SHOP AREA & TACK ROOMS. TAKE A NEW LOOK AT PRICE, OWNER VERY MOTIVATED", Solar Heating ,1,0,0,0
9719 Collie Way #lot90 Elk Grove," 95757	","$497,915 ","$391,769 ", 10/17/08,3100,6510,5,4,NA," Window(s) Dual Pane, Solar Chamber, Solar Heating"," Fabulous Tim Lewis home with stunning arch ways & art niches. Huge Kitchen with granite slab counter tops, Raised panel maple cabinets, built in 5 burner cooktop and built in oven. SMUD Solar Smart Home. Courtyard with iron gate. SmartVent. Absolutely Gorgeous! Call for details", Passive Solar ,0,1,0,0
9428 Triathlon Ln Elk Grove," 95758-3634	","$565,000 ","$488,888 ", 12/10/08,3672,8494,5,3,2003," Window(s) Dual Pane, Smart Vent, Solar Chamber		"," Exquisite home on a large lot in the Premier gated community of Lakeside! BREATHTAKING park like backyard w/koi pond, waterfall & abundant fruit trees! 5bd/3ba + game room. Over $100,000 in UPGRADES! The GOURMET oversized kitchen includes granite slab, maple cabinets, stainless steel appliances, lg island, tile floors & walk-in pantry! RELAXING elegant master suite. Large game room w/home theater system. This is a Zero Energy House. You will love your SMUD bills-less then $100 a month! WOW", Solar Heating ,1,0,0,0
9241 LOS PUENTES Rd Newcastle," 95658-9706	","$449,000 ","$400,000 ", 04/30/09,2462,10890,3,2,1981," Window(s) Dual Pane, Skylight(s), Solar Plumbed, Solar Domestic Water, Solar Heating		"," Quiet hilltop retreat! Gorgeous sunsets and city lights at your feet. Solar hot water, spa on deck outside the master suite, and very open floorplan. Not an REO or Short Sale. Won't last at this price", Passive Solar ,1,1,0,0
2322 Elena Ln Carmichael," 95608-5100	","$875,000 ","$690,000 ", 07/31/07,2749,50965,4,3,1940," Window(s) Dual Pane, Skylight(s), Solar Heating		"," Organic gardening next to Arden. 1.17acres RD2 possible split w/original Carmichael Colony frmhse.Lrg rms w/new crpt&paint,cntry ktchn w/Wolf stove,root cellar & pool.Lrg mature trees inc oaks & 7 kinds of fruit.Grdn w/raised beds & compost pile+chicken coop.Enjoy a quiet sanctuary in the middle of the cit", Passive Solar ,0,1,0,0
241 Florence Ave Sebastopol," 95472	","$799,000 ","$725,000 ", 10/07/08,2796,9888,4,2,1912," Window(s) Dual Pane, Skylight(s), Solar Domestic Water"," A precious chance to own a great vintage home on one of downtown's most loved avenues! Updated with solar power, radiant heat, on demand water heater and dual pane windows, this 4 bdrm 2 bath home is charming and spacious at nearly 2800 SF. Beautiful master suite has deep soaking tub, walk-in shower, glass block architecture, skylights and an adjacent sitting area. Newly installed carpet and freshly updated paint. Large lot", Solar Heating ,1,0,0,0
39722 Leeward Rd The Sea Ranch," 95497	","$819,000 ","$795,000 ", 06/04/08,1304,20604,2,2,1998," Window(s) Dual Pane, Skylight(s), Passive Solar"," Full time or second home it will work beautifully either way.Great location! This 10 year old home with 2 bedrooms,two baths, fireplace,slate tile floors, dining area,laundry room,architecturally interesting,open beamed vaulted ceilings,hot tub and private deck, secret garden,large deck with blue water views, garage.Close to Walk on beach,Shell beach,Del Mar Pool, and fabulous trails.Skylights, double paned windows passive solar & power generato", Passive Solar ,0,1,0,0
125 Stanford Ave Mill Valley," 94941	","$1,174,500 ","$1,125,000 ", 06/13/08,1870,7275,3,3,1960," Window(s) Dual Pane, Skylight(s), Partial Insulation, Passive Solar		"," Mill Valley opportunity! Light, views of Mt. Tam/hills & privacy! 3BR/3BA home, extensively remodeled, w/Andersen windows, finest finishes, hardwood, built-in sound, skylights,lighting & crown molding. Energy saving/green features. Open floor plan: sophisticated LR w/fireplace, Dining Rm & gourmet kitchen. Each BR has adjoining bath. Workshop & large storage area. Two gardens, fenced yard. New roof, updated systems. Minutes to SF, MV and hiking", Passive Solar ,0,1,0,0
4300 Young Creek Rd Ukiah," 95482	","$795,000 ","$800,000 ", 12/13/06,2300,39160,1,1,NA," Window(s) Dual Pane, Skylight(s), Other, Wall Insulation"," Custom solar home on 90, private, south facing rural acres. 2300 sq. ft. of versatile living space, large great room w/ deluxe kitchen, fireplace, cathedral ceilings, views of oaks,meadows,mountains & canyons. Spacious bedroom, oversized bathroom, home office & pantry. Approx. 5 fenced acres, raised planting beds, guest cottage, wood fired hot tub and two springs. Owner-builder designed and built this residence", Solar Heating ,1,0,0,0
3280 Old Adobe Rd Petaluma," 94954	","$3,250,000 ","$2,695,000 ", 04/03/08,3618,48011,2,3,1979," Window(s) Dual Pane, Skylight(s), Other, Solar Domestic Water"," Fabulous estate property with views to San Francisco bay skyline & bridges. 110 acres of gentle useable land. Meadows creeks pond. Ancient oaks. Views in every direction. End of lane privacy. Grand Estate home & equestrian facility. Guest house, caretaker's mobile, fruit orchard, fenced and cross fence, currently used as a cattle ranch", Solar Heating ,1,0,0,0
1000 Freestone Ranch Rd Freestone," 95472	","$1,500,000 ","$1,480,000 ", 07/01/05,2864,34630,3,3,1991," Window(s) Dual Pane, Skylight(s), Floor Insulation		"," Enchanted retreat, French country home on magical gently sloping 7.95 acres, panoramic views! Great open floor plan, gourmet kitchen, hickory floors, master suite main level. Artist studio over 2 car garage!! Guest house + workshop + 2 stall barn. $10K credit for carpet or replacment.Don't miss the virtual tour", Solar Heating ,1,0,0,0
